generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.211064,5068.316433,0.266598,14.785729,51.541113,25.416356,7.779256,0.677528,93.879447,1.433053,2.064271,28.528310,0.056281,0.023359,0.042202,13.919,0.042723,367.03,14.56,85.1,0.015034,0.984966,1,1
0.198609,2244.703995,0.335067,12.083827,66.119984,40.532869,7.370029,0.687421,99.519229,1.520841,1.364353,40.153770,0.022622,0.004159,0.019125,8.118,0.017433,146.31,2.63,86.4,0.016960,0.983040,1,1
0.267848,3269.885115,0.342187,14.050766,61.254246,37.098540,7.627052,0.793326,88.199753,1.724434,1.326221,38.018454,0.024451,0.029121,0.045155,17.625,0.046910,500.73,21.25,99.4,0.012060,0.987940,0,1
0.348904,7546.361177,0.179555,20.151460,64.516290,35.368615,7.656262,0.779216,53.648457,1.720523,1.533736,21.523739,0.018488,0.028642,0.105743,5.490,0.118519,206.57,20.53,97.7,0.009328,0.990672,0,1
0.520253,6496.731581,0.349119,15.525036,71.787625,39.584268,7.800446,0.855088,51.631450,1.251637,1.620226,28.826258,0.047579,0.089218,0.148423,13.885,0.176948,503.06,70.19,107.1,0.009302,0.990698,0,1
0.447222,7679.521404,0.297292,16.372146,61.389891,33.192684,7.909483,0.666608,72.134456,1.326104,1.320229,39.540523,0.057804,0.117332,0.186797,11.847,0.229612,409.80,71.96,84.0,0.009461,0.990539,0,1
0.399409,3244.508499,0.413146,12.150459,61.630731,34.977930,7.476550,0.708395,62.103789,1.648964,2.387769,29.934557,0.009418,0.009815,0.055450,5.168,0.058057,122.73,6.40,88.9,0.011800,0.988200,0,1
0.420427,4951.764718,0.171260,21.153315,71.279781,36.700388,7.795091,0.888317,61.061920,1.403686,2.355513,36.874015,0.029243,0.046666,0.072318,13.977,0.078617,561.02,38.14,111.2,0.009410,0.990590,0,1
0.296881,2558.582304,0.437342,18.942291,64.705857,38.208432,7.632733,0.736148,83.425336,1.708332,1.351361,20.934078,0.010693,0.010400,0.028704,8.350,0.028858,261.04,7.04,95.2,0.011802,0.988198,0,1
0.250450,3231.344305,0.206957,13.663075,50.810049,20.753143,8.286676,0.937853,96.774351,1.702156,2.175385,39.737947,0.022485,0.024321,0.040852,17.505,0.041039,546.48,20.99,117.3,0.017164,0.982836,0,1
