generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.187728,6349.455163,0.109045,22.223061,76.906933,15.197881,0.559027,1.268049,0.727339,8.506420,0.654026,58.719853,1.563123,2.087923,31.920802,4.500000,12.500000,0.100235,0.070248,0.104776,3.355,0.582201,100.89,42.27,82.2,0.014068,0.985932,1,1,0.271429,0.020667,0.040104
0.308960,4397.661568,0.196588,15.813295,66.247396,20.640486,0.638823,1.208435,0.897133,7.772302,0.816275,34.485116,1.492911,2.374815,17.128966,4.500000,12.500000,0.049000,0.049942,0.055183,23.050,0.058747,440.73,37.50,100.7,0.000000,1.000000,1,1,0.950000,0.017573,0.065711
0.840223,7928.101888,0.413149,18.738735,61.241917,41.846381,0.904034,1.391307,0.963416,8.298057,0.854071,53.903061,1.657600,1.434813,43.334427,4.500000,12.500000,0.232768,0.132461,0.158217,19.420,0.219737,395.26,104.08,106.9,0.011658,0.988342,1,1,0.950000,0.000111,0.041186
1.261087,6998.616210,0.306479,12.166448,73.560140,46.099053,0.695183,1.195329,0.604802,7.950039,0.923093,33.308901,1.657600,2.214734,18.616197,4.500000,12.500000,0.208975,0.266599,0.283517,25.000,1.266013,213.60,226.41,115.2,0.000000,1.000000,1,1,0.950000,0.162360,0.057560
0.543702,7017.678710,0.166166,15.783610,67.543168,36.249019,0.564081,1.141069,0.910587,7.841316,0.716487,56.301152,1.546154,2.022538,16.161211,4.500000,12.500000,0.014030,0.126489,0.158523,24.906,0.173600,386.85,83.38,89.9,0.009364,0.990636,1,1,0.950000,0.321390,0.042945
1.441812,4759.133107,0.409149,18.471385,51.967003,42.031522,0.625117,1.006255,0.495929,8.178290,0.680636,41.917045,1.373891,1.960763,44.180036,4.500000,12.500000,0.342114,0.245187,0.325693,17.822,0.622702,262.49,153.53,85.5,0.009140,0.990860,1,1,0.950000,0.141083,0.038965
1.462118,6240.875879,0.252965,22.191276,70.281247,16.367264,0.750456,1.302497,0.670292,7.678538,0.754887,39.130968,1.483137,1.616762,24.962593,4.500000,12.500000,0.250061,0.153736,0.219792,12.402,0.288315,407.58,106.77,94.7,0.000000,1.000000,1,1,0.950000,0.047401,0.062758
2.104294,5078.864333,0.383400,22.498385,56.061338,39.883208,0.818022,1.201234,0.439866,8.301841,0.776585,44.500356,1.657600,1.799109,16.867657,4.500000,12.500000,0.386646,0.253878,0.369913,11.687,0.819041,299.50,181.39,97.4,0.011483,0.988517,1,1,0.950000,0.000426,0.040254
2.192484,4456.893792,0.368717,21.844599,83.483506,32.702123,0.550829,1.442625,0.992758,7.870259,0.875263,44.745826,1.367434,1.528629,22.369819,4.500000,12.500000,0.298829,0.190112,0.221654,20.297,0.672300,202.53,153.09,109.6,0.011492,0.988508,1,1,0.950000,0.007951,0.062089
1.165618,2896.116328,0.285429,16.283753,58.255894,29.575634,0.740486,1.155257,0.067849,8.070679,0.696106,38.032323,1.361122,2.097347,36.533289,4.500000,12.500000,0.233534,0.149634,0.185143,18.382,0.315003,268.46,95.83,87.4,0.000000,1.000000,1,1,0.950000,0.088868,0.052555
