generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.075741,2192.290694,0.315663,15.987406,44.989385,27.041251,0.726341,1.394395,0.948134,8.730994,0.632064,63.715417,1.341472,1.651162,17.864675,4.600000,13.500000,0.185360,0.153910,0.177851,17.334,0.456908,347.65,89.50,202.5,0.005000,0.995000,1,1,0.950000,0.399847,0.040282
2.493781,3167.112411,0.191296,17.767470,43.968761,27.901471,0.793241,1.112688,0.559527,8.722499,0.848954,63.804503,1.341472,2.128656,16.117401,4.600000,13.500000,0.076000,0.000000,0.000000,15.329,0.000000,200.12,0.00,342.9,0.013444,0.986556,1,1,0.950000,0.000000,0.000000
1.816793,4149.717916,0.294274,18.784760,40.007610,12.066840,0.848455,1.270191,0.543793,8.150972,0.654706,50.246998,1.406935,1.938188,22.476809,4.600000,13.500000,0.543156,0.417845,0.256882,17.092,0.393663,308.66,251.68,264.8,0.009574,0.990426,1,1,0.950000,0.006112,0.031731
2.412928,2974.075252,0.379630,11.678708,48.844344,25.589907,0.926093,1.222542,0.970700,8.791210,0.696483,81.554938,1.392169,2.014533,24.143982,4.600000,13.500000,0.289974,0.219818,0.298387,17.334,0.702232,383.08,140.85,162.8,0.014387,0.985613,1,1,0.950000,0.263933,0.016681
1.667318,3522.791177,0.259637,21.740540,49.833906,11.279948,0.750382,1.038799,0.761720,7.433106,0.662410,83.194171,1.341472,1.346972,18.839594,4.600000,13.500000,0.252324,0.165965,0.178581,17.172,0.352196,208.20,101.14,268.2,0.010472,0.989528,1,1,0.950000,0.074084,0.054481
2.120304,4353.565721,0.295804,21.740540,46.728636,13.538416,0.942726,1.315300,0.603748,7.868892,0.661705,60.443832,1.706033,1.712366,22.610695,4.600000,13.500000,0.439876,0.340002,0.252861,14.610,0.352774,363.96,206.98,238.0,0.008054,0.991946,1,1,0.950000,0.093204,0.066452
0.909078,2120.522596,0.230766,21.740540,35.733987,21.782213,0.616070,1.044130,0.856653,7.949399,0.822145,63.002386,1.606102,2.128656,13.093829,4.600000,13.500000,0.059572,0.050323,0.051908,17.334,0.290967,258.40,38.06,332.2,0.010171,0.989829,1,1,0.950000,0.579386,0.064404
1.515933,1331.837610,0.153808,14.302680,45.769961,20.717442,0.573526,1.299854,0.065247,7.356427,0.792683,76.173142,1.580075,1.995441,25.655119,4.600000,13.500000,0.095350,0.078624,0.091958,17.334,0.808085,186.86,57.34,320.3,0.012688,0.987312,1,1,0.950000,0.575606,0.055218
2.006652,3455.914515,0.171796,21.740540,28.824094,14.776669,0.781489,1.077828,0.171219,8.630773,0.651929,66.717266,1.341472,1.755726,11.687578,4.600000,13.500000,0.450079,0.343815,0.313496,17.334,0.558310,306.26,206.21,263.6,0.010341,0.989659,1,1,0.950000,0.110250,0.040526
0.188157,1713.459688,0.402198,21.740540,38.976921,25.549924,0.717479,1.310086,0.723747,8.087836,0.725289,79.320702,1.531184,1.745923,21.848752,4.600000,13.500000,0.012295,0.009535,0.010004,17.334,0.055854,170.97,6.36,294.3,0.013267,0.986733,1,1,0.950000,0.526996,0.050193
2.493781,3819.491495,0.187860,16.161157,42.305994,26.930515,0.862696,1.328847,0.922361,8.552924,0.842553,69.406743,1.608009,1.569278,10.956481,4.600000,13.500000,0.217000,0.244943,0.254034,17.334,1.468267,264.81,189.87,340.4,0.013578,0.986422,1,1,0.000000,0.398459,0.056882
1.232639,4379.513343,0.437851,14.911496,45.702550,9.486355,0.872593,1.189742,0.682430,8.349467,0.645815,62.245553,1.568948,1.631735,26.363549,4.600000,13.500000,0.325239,0.262485,0.180473,17.334,0.415330,202.98,155.96,261.2,0.012166,0.987834,1,1,0.950000,0.230665,0.029470
0.569227,1057.107421,0.329629,10.819018,35.010824,28.325176,0.820914,1.393239,0.732454,7.374293,0.769291,75.993959,1.457575,1.737574,20.269734,4.600000,13.500000,0.021021,0.010224,0.034493,17.334,0.047506,282.76,7.24,184.9,0.012051,0.987949,1,1,0.950000,0.593533,0.000000
