generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
0.922834,8646.624663,0.321337,21.893286,120.499176,64.248565,0.721041,1.206391,0.072141,8.791667,0.862089,35.444371,1.344571,1.961824,36.265265,4.838308,11.770206,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.4,0.000013,0.999987,0,1,0.000000,0.000000,0.000000
2.239993,13038.168184,0.237277,15.467478,73.651227,36.169757,0.541078,1.116787,0.374352,7.018614,0.795429,29.793420,1.289752,1.485292,47.070819,4.331314,12.650314,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.3,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.427586,12128.015207,0.314406,17.754929,115.850918,54.429469,0.812585,1.198064,0.074240,8.726605,0.730063,39.763599,1.499502,1.615722,54.177298,4.658529,11.657194,-0.050000,0.000000,0.000000,0.000,0.000000,0.01,0.00,35.0,0.000109,0.999891,0,1,0.116088,15.406078,15.986387
2.154048,3171.323721,0.161496,20.807788,81.910237,30.073599,0.807865,1.290865,0.338281,7.009935,0.869764,45.227312,1.453110,1.854541,55.433766,4.349940,11.334791,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.1,0.009719,0.990281,0,1,0.000000,0.000000,0.000000
1.722174,6309.170421,0.112741,13.900702,112.572607,52.990639,0.673111,1.265106,0.309000,7.199735,0.663573,27.272729,1.284369,1.428063,47.686737,3.926284,11.475099,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,31.3,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
1.968801,6072.034240,0.338871,14.277877,105.693257,36.605620,0.630332,1.197669,0.914616,8.237914,0.888255,46.146815,1.473940,1.738897,38.699846,4.769936,11.206173,-0.038226,0.009569,0.033606,2.544,0.129242,68.50,7.82,42.5,0.014518,0.985482,1,1,0.271429,0.518108,0.042527
1.803636,4775.748972,0.141806,11.786989,122.268403,33.695540,0.706033,1.049551,0.220835,8.740127,0.794758,43.832523,1.402811,1.731105,46.886066,4.829944,11.109356,0.349815,0.213905,0.400881,10.430,0.653068,416.38,156.40,37.5,0.009569,0.990431,1,1,0.950000,0.000587,0.022969
0.770741,7292.947096,0.371525,16.470824,121.314207,61.304028,0.564231,1.019352,0.500440,7.752722,0.719607,37.656668,1.334778,1.711086,23.684649,4.493518,12.397548,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,36.7,0.000004,0.999996,0,1,0.000000,0.000000,0.000000
1.258495,7715.385069,0.309853,15.462311,94.164579,58.452920,0.680560,1.275190,0.584865,7.712187,0.884070,49.411480,1.542935,1.885624,48.357534,4.415451,11.139148,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,46.6,0.012171,0.987829,0,1,0.000000,0.000000,0.000000
-0.116815,11387.029220,0.367369,23.137424,127.677292,74.766229,0.684774,1.015387,0.638351,8.022584,0.614156,41.707782,1.363345,1.918188,23.479208,3.740317,12.476153,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,32.2,0.009667,0.990333,0,1,0.000000,0.000000,0.000000
1.626349,13783.333833,0.272355,17.036825,126.751259,59.510398,0.667227,1.166440,0.232367,7.531607,0.724470,42.619138,1.432835,1.592499,53.724889,4.663421,11.699944,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,35.7,0.012114,0.987886,0,1,0.000000,0.000000,0.000000
0.488435,4307.814296,0.453893,18.444599,109.015054,53.097469,0.761853,1.001815,0.717206,8.336643,0.681394,43.446338,1.305366,1.720336,30.535619,4.195338,12.012830,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.7,0.007311,0.992689,0,1,0.000000,0.000000,0.000000
1.939258,10633.767372,0.494708,20.623497,111.261631,69.533407,0.711419,1.281353,0.771942,7.582546,0.746653,33.805157,1.315604,1.541403,46.572907,4.468593,11.396552,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.8,0.000003,0.999997,0,1,0.000000,0.000000,0.000000
0.668826,10751.174688,0.359625,20.508488,105.032713,57.066954,0.490576,1.236509,0.347174,7.132045,0.619033,39.163839,1.338120,1.390680,30.128922,4.636363,11.241529,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,28.9,0.000005,0.999995,0,1,0.000000,0.000000,0.000000
2.055113,7399.470074,0.409787,15.680709,115.446435,42.190275,0.743951,1.082667,0.943846,8.272677,0.627093,28.195934,1.431863,1.526503,32.302865,4.684296,12.000016,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,31.1,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
1.485731,4813.092473,0.204148,12.040389,89.167838,75.859593,0.531681,1.121319,0.571889,8.214725,0.863861,42.578926,1.378267,1.673534,49.927080,3.801126,11.829169,0.231679,0.252783,0.311539,25.168,0.452098,460.02,200.90,45.7,0.009604,0.990396,1,1,0.950000,0.000334,0.026850
0.788027,4520.893570,0.415886,18.561259,85.945607,36.375218,0.530502,1.275298,0.076716,8.132170,0.590793,34.716419,1.285105,1.748858,31.687511,3.591506,11.564032,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,28.3,0.000021,0.999979,0,1,0.000000,0.000000,0.000000
1.474434,8266.579410,0.385638,21.002444,74.301314,37.060137,0.664820,1.200638,0.960932,7.526273,0.759100,39.198959,1.551752,1.789176,42.142905,4.429967,12.137100,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,37.8,0.000007,0.999993,0,1,0.000000,0.000000,0.000000
0.950252,12421.700958,0.409303,24.407831,122.211623,72.020689,0.592680,1.132070,0.725288,7.846813,0.858231,43.821502,1.462678,1.608845,59.186890,4.237642,11.958554,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,42.8,0.007283,0.992717,0,1,0.000000,0.000000,0.000000
1.709224,8817.864343,0.465247,17.952382,100.679978,34.460003,0.538894,1.241400,0.397419,8.051484,0.626596,49.581276,1.545183,1.499234,40.454916,3.863410,12.159779,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.1,0.009705,0.990295,0,1,0.000000,0.000000,0.000000
2.544079,3718.174584,0.488866,25.512113,101.778727,75.121090,0.588732,1.172168,0.283248,8.654302,0.676464,28.007750,1.384001,1.641507,27.447822,3.737587,11.209981,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,31.2,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.759589,12714.265626,0.227380,25.839665,70.977332,60.322523,0.531402,1.279107,0.996181,7.965897,0.622040,36.579889,1.374085,1.728177,40.066096,3.847100,11.356229,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,29.2,0.000028,0.999972,0,1,0.000000,0.000000,0.000000
1.663762,10025.439538,0.300324,16.868700,81.316822,42.332103,0.548138,1.158812,0.702475,8.437245,0.714080,39.468925,1.460910,1.774978,39.435761,4.719539,12.516978,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,36.9,0.000022,0.999978,0,1,0.000000,0.000000,0.000000
2.569006,11808.399402,0.169214,13.700336,88.830356,60.087525,0.740407,1.207992,0.279444,7.296447,0.899964,28.322804,1.429806,1.824655,59.546008,4.215427,11.389583,0.211374,0.098147,0.485491,1.618,2.170450,128.93,81.26,41.6,0.000000,1.000000,1,1,0.678571,0.015635,0.035786
0.873821,13226.299341,0.324931,25.939066,126.799832,45.457814,0.586622,1.017731,0.682883,8.371304,0.706875,33.746191,1.360794,1.925522,44.523965,4.077790,12.674662,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,36.9,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.225689,6103.968072,0.400638,22.042374,92.233668,55.430530,0.779876,1.220889,0.759711,8.640643,0.750378,44.206438,1.501211,1.473094,50.287713,4.043241,12.073024,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,38.7,0.009756,0.990244,0,1,0.000000,0.000000,0.000000
0.068830,10294.333410,0.108159,15.720911,75.402811,73.387026,0.762309,1.055874,0.683828,8.218796,0.887756,34.320175,1.457590,1.981715,42.849808,4.481580,12.300771,0.047294,0.013083,0.019882,18.029,0.034425,273.56,10.69,44.9,0.000008,0.999992,1,1,0.950000,0.210252,0.030957
