generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.431270,5955.121988,0.123647,13.618737,78.805444,21.654181,0.905129,1.171188,0.844227,7.569249,0.668349,75.124406,1.642718,1.599235,22.709852,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,40.6,0.014165,0.985835,0,1,0.000000,0.000000,0.000000
1.856023,3834.832859,0.160556,14.487383,79.902556,33.909983,0.607177,1.301587,0.733257,7.524302,0.753901,98.953556,1.381697,1.358526,23.215525,-0.017500,0.000000,0.000000,25.000,0.000000,27.72,0.00,88.1,0.013914,0.986086,1,1,0.436184,0.000000,0.000000
0.687976,7098.900029,0.384446,12.281787,64.003683,38.909232,0.765662,1.191972,0.401646,8.653455,0.772022,58.459250,1.657745,1.542159,27.904851,-0.017500,0.000000,0.000000,25.000,0.000000,104.82,0.00,220.8,0.013335,0.986665,1,1,0.950000,0.000000,0.000000
2.820101,2250.883981,0.197096,16.851014,66.215382,29.625939,0.613654,1.337317,0.481595,8.721775,0.654519,101.183752,1.345909,1.634110,41.451398,-0.017500,0.000000,0.000000,25.000,0.000000,32.85,0.00,58.7,0.013160,0.986840,1,1,0.950000,0.000000,0.000000
0.368811,3420.301711,0.151580,19.141005,61.212478,18.851329,0.903810,1.018414,0.771632,7.474285,0.728618,47.887639,1.261005,1.397362,39.922271,-0.017500,0.000000,0.000000,7.657,0.000000,0.00,0.00,55.5,0.000000,1.000000,1,1,0.950000,0.000000,0.000000
0.551875,2811.685418,0.402418,16.022941,69.367795,33.393739,0.880028,1.115368,0.938374,7.445933,0.929692,78.512760,1.459359,2.147833,40.735961,-0.017500,0.000000,0.000000,25.000,0.000000,0.00,0.00,105.6,0.010809,0.989191,1,1,0.950000,0.000000,0.000000
0.432447,7199.330997,0.184927,14.986214,70.158909,47.469973,0.815306,1.373810,0.823849,7.416530,0.910508,64.470301,1.739182,2.183055,34.723283,-0.017462,0.000728,0.003866,25.000,0.000810,156.83,0.54,315.7,0.006958,0.993042,1,1,0.950000,0.808949,0.059783
2.746351,5834.163412,0.135291,21.682894,52.351840,37.021100,0.571866,1.324248,0.145395,8.586529,0.660053,84.578599,1.617747,2.355166,35.103886,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,43.1,0.011408,0.988592,0,1,0.000000,0.000000,0.000000
1.627730,2995.674230,0.221699,13.006797,56.831207,40.208575,0.682364,1.137528,0.521782,8.481626,0.787920,72.176832,1.467806,2.275102,37.676733,-0.017194,0.005826,0.009152,25.000,0.010320,146.77,2.98,92.6,0.012923,0.987077,1,1,0.950000,3.699671,0.000000
2.846633,4885.624218,0.254038,21.505781,71.680714,35.151012,0.745723,1.289409,0.916667,7.495522,0.765813,73.987557,1.376584,2.071789,18.839439,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,64.7,0.012259,0.987741,0,1,0.000000,0.000000,0.000000
2.395787,2957.105220,0.093562,23.780086,59.489935,44.030301,0.877540,1.154941,0.859779,8.352529,0.624630,92.955397,1.251639,1.945855,39.437253,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,39.8,0.018178,0.981822,0,1,0.000000,0.000000,0.000000
1.576360,5656.733775,0.108774,17.402200,70.776027,23.443402,0.788453,1.394729,0.194535,8.790840,0.945479,54.930354,1.625657,1.561811,24.116162,-0.013259,0.080773,0.084263,25.000,0.080311,396.00,64.72,109.0,0.000000,1.000000,1,1,0.950000,3.318403,0.000000
0.637007,6391.023095,0.167499,22.993865,57.725712,28.501475,0.621076,1.185361,0.811350,8.105896,0.833926,45.443532,1.439016,1.925583,29.688395,-0.017385,0.002182,0.002220,25.000,0.001739,331.38,1.30,81.5,0.000000,1.000000,1,1,0.950000,3.276766,0.000000
0.302064,5498.337838,0.260987,23.444294,62.668662,44.386643,0.686432,1.360881,0.528343,7.641513,0.805871,56.103061,1.295595,1.385255,29.280177,-0.017500,0.000000,0.000000,2.290,0.000000,0.00,0.00,74.6,0.010926,0.989074,1,1,0.250000,0.000000,0.000000
2.550413,3579.653748,0.390559,12.917177,65.049025,39.438664,0.761538,1.085206,0.035031,8.667624,0.905866,53.977356,1.455840,1.958125,35.883599,-0.017500,0.000000,0.000000,25.000,0.000000,258.59,0.00,305.2,0.000510,0.999490,1,1,0.950000,0.000000,0.000000
0.974556,6887.744008,0.279126,16.334215,66.554282,41.460663,0.772391,1.328713,0.084425,8.687984,0.705867,68.242825,1.407542,2.378066,25.154637,-0.017500,0.000000,0.000000,20.730,0.000000,0.00,0.00,49.9,0.009756,0.990244,1,1,0.950000,0.000000,0.000000
0.931649,3515.416240,0.223677,11.201613,68.684765,40.667369,0.615077,1.448854,0.622007,8.548845,0.865718,50.671857,1.539744,1.343956,21.689274,-0.017445,0.001053,0.001086,25.000,0.002609,272.65,0.69,229.1,0.000373,0.999627,1,1,0.000000,4.290589,0.000000
1.719228,5629.593758,0.170513,13.865757,76.129085,42.839837,0.658135,1.015856,0.799319,8.543318,0.823465,59.350735,1.520114,1.713400,31.963446,-0.016829,0.012781,0.013542,25.000,0.023479,178.16,7.37,85.8,0.013489,0.986511,1,1,0.000000,4.017554,0.000000
1.778497,4650.924052,0.265945,17.196554,69.711766,32.056535,0.842327,1.407208,0.741897,8.257817,0.844181,103.423611,1.303966,1.446932,20.916019,-0.017500,0.000000,0.000000,25.000,0.000000,233.90,0.00,212.5,0.015094,0.984906,1,1,0.950000,0.000000,0.000000
2.045717,4105.129933,0.343931,18.048147,73.171705,35.971377,0.854637,1.143011,0.295887,7.673920,0.934608,66.496155,1.530701,1.624335,39.843164,-0.015316,0.041594,0.061416,25.000,0.057934,208.11,32.50,106.6,0.009760,0.990240,1,1,0.950000,2.207369,0.000000
1.072819,2669.549900,0.212585,21.960118,74.517753,26.759570,0.940305,1.294542,0.491134,7.355651,0.879855,66.946181,1.268550,1.735527,29.078379,-0.017500,0.000000,0.000000,0.080,0.000000,0.00,0.00,92.8,0.010269,0.989731,0,1,0.100000,0.000000,0.000000
2.704540,2860.278737,0.145562,20.025458,76.903716,35.581112,0.739510,1.217893,0.502158,7.555541,0.916381,86.654364,1.718203,2.235039,33.213039,-0.017500,0.000000,0.000000,13.774,0.000000,0.00,0.00,103.2,0.009653,0.990347,1,1,0.533148,0.000000,0.000000
2.476156,7260.806091,0.388918,23.850578,67.317290,22.056964,0.827179,1.438791,0.678093,8.085467,0.783926,107.317395,1.748541,1.917416,18.376683,-0.017500,0.000000,0.000000,0.042,0.000000,0.00,0.00,75.2,0.013294,0.986706,0,1,0.050000,0.000000,0.000000
2.507312,4984.317872,0.089232,18.721287,69.057159,24.493965,0.934402,1.151658,0.958705,7.757824,0.645222,70.915685,1.499093,1.693449,27.337166,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,34.9,0.010330,0.989670,0,1,0.000000,0.000000,0.000000
1.041724,2699.275894,0.102743,14.570346,63.785498,45.126957,0.596733,1.186044,0.724021,8.216636,0.749385,49.010082,1.690461,1.869114,32.997912,-0.017500,0.000000,0.000000,19.370,0.000000,179.20,0.00,60.6,0.000008,0.999992,1,1,0.950000,0.000000,0.000000
1.429206,5257.027179,0.194109,11.903174,52.726670,46.691261,0.742762,1.402045,0.912320,8.472427,0.896597,98.883980,1.675450,2.293276,37.099396,-0.017500,0.000000,0.000000,25.000,0.000000,95.66,0.00,263.6,0.014798,0.985202,1,1,0.000000,0.000000,0.000000
1.199879,7745.822356,0.135975,18.346330,58.137467,33.070272,0.723543,1.357166,0.702705,8.275089,0.881850,108.241719,1.370423,2.281815,20.632786,-0.017500,0.000000,0.000000,25.000,0.000000,21.22,0.00,255.5,0.016364,0.983636,1,1,0.950000,0.000000,0.000000
2.602445,4212.649791,0.141851,21.363529,78.330768,29.363587,0.625424,1.256924,0.648666,7.481377,0.686198,70.028282,1.623664,1.973900,35.547597,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,45.0,0.010318,0.989682,0,1,0.000000,0.000000,0.000000
1.287695,6967.382684,0.302845,11.592906,63.023261,32.706781,0.938641,1.162897,0.234621,8.735035,0.693830,42.781776,1.367968,1.324217,25.227014,-0.002848,0.279084,0.285614,25.000,0.206108,52.24,94.40,120.6,0.000000,1.000000,1,1,0.950000,2.604846,0.000000
0.511180,4735.142788,0.413436,19.284168,50.217175,20.422910,0.650096,1.201032,0.349264,8.607633,0.854221,93.736756,1.567235,2.170078,26.263875,-0.017500,0.000000,0.000000,25.000,0.000000,180.35,0.00,114.1,0.016092,0.983908,1,1,0.950000,0.000000,0.000000
0.598990,7315.723879,0.208640,14.736645,65.342619,25.927064,0.556509,1.006361,0.880720,7.689331,0.939765,104.549341,1.470645,2.131523,33.994336,-0.017500,0.000000,0.000000,25.000,0.000000,18.55,0.00,165.2,0.014313,0.985687,1,1,0.950000,0.158378,0.762165
